Ref,Channel,Supplier,Location,Contact Number,Website / Social,Pole Type,Material,Height ft,Height m,Diameter / Section,Wall Thickness,Base Plate,Tapered or Straight,Profile,Galvanizing Spec,Wind Rating,Arm Included,Arm Length,No. of Arms,Anchor Bolts Included,Luminaire Included,Installation Included,Unit Price TT$ excl VAT,Unit Price TT$ incl VAT,VAT Status,Delivery Cost,MOQ,Quantity Discount 25/50/100/200,Lead Time,In Stock,Date Verified,Source URL
B2,Hardware / Steel,Southern Wholesale Stores Ltd,"185 Union Road, Marabella",(868) 235-4900,southernwholesalestores.com,Galvanized pipe / sheet,Galvanized steel,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,PRICE ON REQUEST,PRICE ON REQUEST,TBC,TBC,TBC,TBC,TBC,TBC,2026-09-14,https://www.southernwholesalestores.com/steel-metals/galvanized-pipes.html
B3,Steel Manufacture,Trinrico Steel & Wire Products Ltd,Trinidad,(868) 607-8726,trinricosteel.com,TBC,Galvanized steel,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,PRICE ON REQUEST,PRICE ON REQUEST,TBC,TBC,TBC,TBC,TBC,TBC,2026-09-14,https://trinricosteel.com/
B4,Steel Manufacture,Varma Iron and Steel Co Ltd,Trinidad,Via web,varmasteel.com,TBC,"Steel, in-house zinc coating",TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,PRICE ON REQUEST,PRICE ON REQUEST,TBC,TBC,TBC,TBC,TBC,TBC,2026-09-14,https://www.varmasteel.com/
C1,Steel Fabrication,Rosscon Ltd,Trinidad,Via web,rossconltd.com,Fabricate to drawing,Structural steel,Any,Any,To drawing,To drawing,To drawing,Either,Any,To spec,To spec,To spec,To spec,To spec,To spec,No,Possible,PRICE ON REQUEST,PRICE ON REQUEST,TBC,TBC,TBC,TBC,TBC,TBC,2026-09-14,https://www.rossconltd.com/
C2,Steel Fabrication,Steel Force Caribbean Ltd,Trinidad,Via web,steelforcecaribbean.com,Fabricate to drawing,Structural steel,Any,Any,To drawing,To drawing,To drawing,Either,Any,To spec,To spec,To spec,To spec,To spec,To spec,No,Possible,PRICE ON REQUEST,PRICE ON REQUEST,TBC,TBC,TBC,TBC,TBC,TBC,2026-09-14,https://steelforcecaribbean.com/
D1,Solar Integrator,Trifactor Solar,Trinidad,Via web,trifactorsolar.com,Solar street light,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Yes,TBC,PRICE ON REQUEST,PRICE ON REQUEST,TBC,TBC,TBC,TBC,TBC,TBC,2026-09-14,https://www.trifactorsolar.com/trifactor-solar-street-lights
D2,Solar Integrator,RenergyTT,San Fernando,Via Facebook,fb.com/RenergyTT,Solar street light,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Yes,TBC,PRICE ON REQUEST,PRICE ON REQUEST,TBC,TBC,TBC,TBC,TBC,TBC,2026-09-14,https://www.facebook.com/RenergyTT/
E1,Institutional,Trinidad & Tobago Electricity Commission (T&TEC),"LP 846 Southern Main Road, King Village, California",tenderqueries@ttec.co.tt,ttec.co.tt,S1 / S2 street lighting tariff - utility owns and installs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes under S1,Yes under S1,TARIFF - OBTAIN FROM T&TEC,TARIFF - OBTAIN FROM T&TEC,N/A,N/A,N/A,N/A,N/A,N/A,2026-09-14,https://ttec.co.tt/tariffs-2/
E2,Institutional,Ministry of Works and Transport,Trinidad,procurement@mowt.gov.tt,mowt.gov.tt,Highway lighting specification and tender route,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-09-14,https://www.mowt.gov.tt/Divisions/Procurement-Unit/Procurement-Notices/MOWT-Procurement-Tender
E3,Institutional,Ministry of Public Utilities,Trinidad,Via web,mpu.gov.tt,Street Lighting Programme policy / PSIP funding,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-09-14,https://www.mpu.gov.tt/street-lighting-and-the-illumination-of-public-facilities-2/
